,PRICE , TIME 
349,2547.5,09:49:44
350,2547.5,09:49:50
351,2546.8,09:49:55
352,2546.8,09:50:00
353,2546.8,09:50:05
354,2546.8,09:50:11
355,2546.8,09:50:16
356,2546.8,09:50:21
357,2546.8,09:50:26
358,2546.8,09:50:31
359,2546.8,09:50:37
360,2546.8,09:50:42
361,2546.8,09:50:47
362,2546.8,09:50:52
363,2546.8,09:50:57
364,2546.8,09:51:03
365,2546.8,09:51:08
366,2546.8,09:51:13
367,2546.8,09:51:18
368,2546.8,09:51:23
369,2546.8,09:51:28
370,2547.75,09:51:34
371,2547.75,09:51:39
372,2547.75,09:51:44
373,2547.75,09:51:49
374,2547.75,09:51:54
375,2547.75,09:52:00
376,2547.75,09:52:05
377,2547.75,09:52:10
378,2547.75,09:52:15
379,2547.75,09:52:20
380,2547.75,09:52:25
381,2547.75,09:52:31
382,2547.75,09:52:36
383,2547.75,09:52:41
384,2547.75,09:52:46
385,2547.75,09:52:51
386,2547.75,09:52:57
387,2547.75,09:53:02
388,2547.75,09:53:07
389,2547.75,09:53:12
390,2547.75,09:53:17
391,2547.75,09:53:23
392,2549.25,09:53:28
393,2549.25,09:53:33
394,2549.25,09:53:38
395,2549.25,09:53:43
396,2549.25,09:53:49
397,2549.25,09:53:54
398,2549.25,09:53:59
399,2549.25,09:54:04
400,2549.25,09:54:09
401,2549.25,09:54:15
402,2549.25,09:54:20
403,2549.25,09:54:25
404,2549.25,09:54:30
405,2549.25,09:54:35
406,2549.25,09:54:40
407,2549.25,09:54:46
408,2549.25,09:54:51
409,2549.25,09:54:56
410,2549.25,09:55:01
411,2549.25,09:55:07
412,2549.25,09:55:12
413,2548.0,09:55:17
414,2548.0,09:55:22
415,2548.0,09:55:27
416,2548.0,09:55:33
417,2548.0,09:55:38
418,2548.0,09:55:43
419,2548.0,09:55:48
420,2548.0,09:55:53
421,2548.95,09:55:58
422,2548.0,09:56:06
423,2548.0,09:56:11
424,2548.0,09:56:16
425,2548.0,09:56:21
426,2548.0,09:56:27
427,2548.0,09:56:32
428,2548.0,09:56:37
429,2548.0,09:56:42
430,2548.0,09:56:47
431,2548.0,09:56:53
432,2548.95,09:56:58
433,2548.95,09:57:03
434,2548.95,09:57:08
435,2548.95,09:57:13
436,2548.95,09:57:19
437,2548.95,09:57:24
438,2548.95,09:57:29
439,2548.95,09:57:34
440,2548.95,09:57:39
441,2548.95,09:57:45
442,2548.95,09:57:50
443,2548.95,09:57:55
444,2548.95,09:58:00
445,2548.95,09:58:05
446,2553.05,09:58:11
447,2553.05,09:58:16
448,2553.05,09:58:21
