PRICE , TIME 
2479.0,10:15:44
2479.0,10:15:50
2479.0,10:15:55
2479.0,10:16:00
2479.0,10:16:05
2479.0,10:16:10
2479.0,10:16:16
2479.0,10:16:21
2479.0,10:16:26
2479.0,10:16:31
2479.0,10:16:36
2479.0,10:16:42
2479.0,10:16:47
2479.0,10:16:52
2479.0,10:16:57
2479.0,10:17:02
2479.0,10:17:08
2479.0,10:17:13
2479.0,10:17:18
2479.0,10:17:23
2479.0,10:17:28
2479.0,10:17:34
2479.0,10:17:39
2479.0,10:17:44
2479.0,10:17:49
2479.0,10:17:54
2479.0,10:18:00
2479.0,10:18:05
2479.0,10:18:10
2479.0,10:18:15
2479.0,10:18:20
2479.0,10:18:26
2479.0,10:18:31
2479.0,10:18:36
2479.0,10:18:41
2479.0,10:18:46
2479.0,10:18:52
2479.0,10:18:57
2479.0,10:19:02
2479.0,10:19:07
2479.0,10:19:12
2479.0,10:19:18
2479.0,10:19:23
2479.0,10:19:28
2479.0,10:19:33
2479.0,10:19:38
2479.0,10:19:44
2479.0,10:19:49
2479.0,10:19:54
2479.0,10:19:59
2479.0,10:20:04
2479.0,10:20:10
2479.0,10:20:15
2479.0,10:20:21
2479.0,10:20:26
2479.0,10:20:31
2479.0,10:20:36
2479.0,10:20:41
2479.0,10:20:47
2479.0,10:20:52
2479.0,10:20:57
2479.0,10:21:02
2479.0,10:21:07
2479.0,10:21:13
2479.0,10:21:18
2479.0,10:21:23
2479.0,10:21:28
2479.0,10:21:33
2479.0,10:21:39
2479.0,10:21:44
2479.0,10:21:49
2479.0,10:21:54
2479.0,10:22:00
2479.0,10:22:05
2479.0,10:22:10
2479.0,10:22:15
2479.0,10:22:20
2479.0,10:22:26
2479.0,10:22:31
2479.0,10:22:36
2479.0,10:22:41
2479.0,10:22:46
2479.0,10:22:51
2479.0,10:22:57
2479.0,10:23:02
2479.0,10:23:07
2479.0,10:23:13
2479.0,10:23:18
2479.0,10:23:23
2479.0,10:23:28
2479.0,10:23:33
2479.0,10:23:39
2479.0,10:23:44
2479.0,10:23:49
2479.0,10:23:54
2479.0,10:23:59
2479.0,10:24:05
2479.0,10:24:10
2479.0,10:24:15
2479.0,10:24:20
2479.0,10:24:25
2479.0,10:24:31
2479.0,10:24:36
2479.0,10:24:41
2479.0,10:24:46
2479.0,10:24:52
2479.0,10:24:57
2479.0,10:25:02
2479.0,10:25:07
2479.0,10:25:12
2479.0,10:25:18
2479.0,10:25:23
2479.0,10:25:28
2479.0,10:25:33
2479.0,10:25:38
2479.0,10:25:44
2479.0,10:25:49
2479.0,10:25:54
2479.0,10:25:59
2479.0,10:26:04
2479.0,10:26:10
2479.0,10:26:15
2479.0,10:26:20
2479.0,10:26:25
2479.0,10:26:30
2479.0,10:26:36
2479.0,10:26:41
2479.0,10:26:46
2479.0,10:26:51
2479.0,10:26:56
2479.0,10:27:02
2479.0,10:27:07
2479.0,10:27:12
2479.0,10:27:17
